,moveaverage_n,sharpe_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
0,5,10,-0.8677309572451263,1.840024706609018,-0.18334721342738558,0.1574595756559252,-1.1667392095346905,0.11016653428843459,-0.2935137477158202,-0.0011066128358770734,9072.018228051711,0.8743827610634453,-4.097433009711072,5384,2516,2.1399046104928456,2.209881129271917,4.815054633751518,2271,3113,42.18053491827637,0.017699824289942323,-0.013069803626412625,-9.100997893081156e-05,1322.6904275487375,1322.6904275487375
1,5,20,-0.7089351617810209,1.840024706609018,-0.11624302446338763,0.15296516819964515,-0.761275087579476,0.11016653428843459,-0.22640955875182223,-0.0007786817167254809,8875.342011904884,0.7565130893388097,-2.6469013177696157,5232,2516,2.079491255961844,2.2637614678899083,4.808769792935444,2255,2977,43.100152905198776,0.01758256198131567,-0.012939732210221325,0.00021542325650572436,2910.648382189792,2910.648382189792
2,5,30,-0.5480397018768666,1.840024706609018,-0.07643496344613576,0.15671799575995254,-0.4887216827804636,0.11016653428843459,-0.18660149773457035,-0.0006212276755430844,9903.488106714867,0.7019562879984707,-2.0046760576834544,5264,2516,2.0922098569157392,2.237082066869301,4.798696006519967,2265,2999,43.02811550151976,0.018058283636535513,-0.01285161701820586,0.00044833073692126916,4519.602981231334,4519.602981231334
3,5,40,-0.6353067566217425,1.840024706609018,-0.09606181384993795,0.15340424643378514,-0.6270042883326669,0.11016653428843459,-0.20622834813837254,-0.0006982106964192255,9382.69996474318,0.7293486795401897,-2.3156226347633755,5278,2516,2.0977742448330683,2.220538082607048,4.791496320523303,2278,3000,43.1602879878742,0.017757775185679756,-0.012869235961508508,0.00034947025169627857,3646.9324337825747,3646.9324337825747
4,5,50,-0.4024758629391587,1.840024706609018,-0.05025294052555762,0.15318459969109371,-0.328592410353975,0.11016653428843459,-0.1604194748139922,-0.0005042142979934558,6574.627689667743,0.5380279401404473,-1.2872114654615032,5193,2516,2.0639904610492845,2.2503369921047565,4.801150369761709,2280,2913,43.9052570768342,0.01786662028076209,-0.012760869662386942,0.0006862085333341826,5975.241370608413,5975.241370608413
5,5,60,-0.5778104143851093,1.840024706609018,-0.0827144418197654,0.152590285913624,-0.543116033378525,0.11016653428843459,-0.1928809761082,-0.0006392906773478714,8651.33135956341,0.6727641418509498,-1.9793749001574668,5142,2516,2.0437201907790143,2.264683002722676,4.808009909165978,2237,2905,43.504472967716836,0.017783869749256234,-0.012990216162861314,0.00039788772383782267,4221.895856148907,4221.895856148907
6,5,70,-0.7822898481313239,1.840024706609018,-0.14156742015221346,0.15685445733717113,-0.9043199160594448,0.11016653428843459,-0.25173395444064806,-0.0009040331730496118,9832.623521179852,0.8192524064867469,-3.2352444113791003,5194,2516,2.064387917329094,2.2293030419715056,4.7926324503311255,2245,2949,43.22294955718136,0.0174866774080005,-0.01323121723364819,4.596287233974243e-05,2177.1015186867617,2177.1015186867617
7,5,80,-0.8328397945771413,1.840024706609018,-0.163978475707371,0.15543350357333297,-1.0573118457580286,0.11016653428843459,-0.2741450099958056,-0.0010056880927339512,10036.356376294318,0.8576625361979372,-3.738357147659631,5181,2516,2.059220985691574,2.226597182011195,4.802664446294754,2241,2940,43.254198031268096,0.017235342926066634,-0.013207124002181625,-3.947907143382714e-05,1671.602054228587,1671.602054228587
8,5,90,-0.9173605508448175,1.840024706609018,-0.2209144117197177,0.154287540992988,-1.436130047853631,0.11016653428843459,-0.3310809460081523,-0.001277783453079355,11175.698637939608,0.9313745851258318,-5.172360453434032,5238,2516,2.0818759936406996,2.19663993890798,4.804175365344467,2272,2966,43.37533409698358,0.01673803059938073,-0.013250145043835409,-0.00024267366900015283,826.3944915518257,826.3944915518257
9,10,10,-0.30544683323993826,1.840024706609018,-0.03583575273741679,0.1550577380794324,-0.23134162792921525,0.11016653428843459,-0.14600228702585138,-0.00044809804039399047,5861.978284497055,0.4769040985082661,-1.0124770293817331,4215,2516,1.6752782193958664,2.8244365361803085,4.792673107890499,1793,2422,42.53855278766311,0.020321552189955964,-0.013674284926322715,0.0007870521909934574,6945.531667600617,6945.531667600617
10,10,20,-0.3543702976396105,1.840024706609018,-0.042861224523720654,0.15225030274406295,-0.28184398830543717,0.11016653428843459,-0.15302775881215525,-0.00046551838850887757,7004.492926292867,0.5364790552217986,-1.206432862405821,4140,2516,1.645468998410175,2.8531400966183575,4.788001621402513,1721,2419,41.570048309178745,0.020912066902715333,-0.013693414366020357,0.0006921009150168688,6456.2970236038955,6456.2970236038955
11,10,30,-0.05305472079225815,1.840024706609018,-0.005443253180111074,0.154216292518205,-0.03533697452205063,0.11016653428843459,-0.11560978746854567,-0.00032586802494828686,5459.0129245742355,0.37091188602009617,-0.5179979170473299,4119,2516,1.6371224165341813,2.8523913571255157,4.789645332246229,1752,2367,42.53459577567371,0.020757925720036124,-0.013646105737006734,0.0009875099737820712,9469.452792077418,9469.452792077418
12,10,40,-0.2525402414006167,1.840024706609018,-0.028722813643492495,0.1522899495225441,-0.1886901706259682,0.11016653428843459,-0.1388893479319271,-0.0004100750074662448,7749.14474666535,0.5199248764534428,-1.024887489753631,4088,2516,1.6248012718600955,2.8564090019569472,4.770016339869281,1758,2330,43.00391389432485,0.020065273395216052,-0.013827022244715903,0.0007479913890904529,7474.5975859938335,7474.5975859938335
13,10,50,-0.47057382652822843,1.840024706609018,-0.061689727971657615,0.15062710784042752,-0.4100709462313513,0.11016653428843459,-0.1718562622600922,-0.0005423372078507173,6651.2148449305305,0.5665798055859599,-1.4720091461725513,4054,2516,1.6112877583465819,2.8680315737543167,4.769073010664479,1701,2353,41.9585594474593,0.020233659095999244,-0.013794050261322075,0.0004834863979782603,5294.261734717716,5294.261734717716
14,10,60,-0.44937675274742384,1.840024706609018,-0.057994393933977983,0.15165416277780794,-0.383057640131495,0.11016653428843459,-0.16816092822241258,-0.0005291796631255331,8600.049365034525,0.6368276576609918,-1.6095822505952082,4039,2516,1.6053259141494436,2.870760089130973,4.769642122583299,1741,2298,43.104728893290414,0.0199367135149964,-0.01418417264738556,0.0005235428288974291,5506.232472525761,5506.232472525761
15,10,70,-0.4687148522886361,1.840024706609018,-0.0613603726516172,0.15251883029736324,-0.40306947687637434,0.11016653428843459,-0.1715269069400518,-0.0005433570743291665,7265.440732183374,0.5937372481337921,-1.5332115571558464,4036,2516,1.6041335453100158,2.85802775024777,4.770471464019852,1730,2306,42.864222001982164,0.020279685345336213,-0.014394131158538864,0.00046853052424207796,5312.85147711364,5312.85147711364
16,10,80,-0.5383409188986998,1.840024706609018,-0.07446950967669586,0.15106800593205674,-0.4941855015361253,0.11016653428843459,-0.18463604396513045,-0.0005966881327354372,7955.9780970063875,0.6378772764804532,-1.7887006893529893,4023,2516,1.598966613672496,2.8560775540641314,4.765657403566984,1706,2317,42.406164553815564,0.01984062311599903,-0.014028335913466658,0.00033419058523293665,4616.590811013001,4616.590811013001
17,10,90,-0.7335775201466144,1.840024706609018,-0.12403606111713228,0.15091312034463117,-0.8238411913940703,0.11016653428843459,-0.23420259540556687,-0.0008103693097547058,9301.613633755002,0.7780051992572243,-2.827773277503688,4124,2516,1.6391096979332274,2.7742483026188167,4.767083333333333,1729,2395,41.92531522793404,0.019409735073871084,-0.014117311041056476,-6.099127075828205e-05,2664.2247985338568,2664.2247985338568
18,15,10,-0.1260421243031149,1.840024706609018,-0.01339836104321257,0.16356338048852626,-0.08198076597091207,0.11016653428843459,-0.12356489533164716,-0.0003736434386964986,3835.3740643260535,0.3357526847078024,-0.5438238376945694,3484,2516,1.3847376788553258,3.429678530424799,4.816203143893591,1486,1998,42.65212399540758,0.022404088006585318,-0.014867683929443492,0.00102951845199704,8739.578756968851,8739.578756968851
19,15,20,-0.4933018193544393,1.840024706609018,-0.06580290218884977,0.14903212650211103,-0.44200471758702753,0.11016653428843459,-0.17596943647728436,-0.0005590412674739559,6497.368126662926,0.563216883798549,-1.5081582657850863,3715,2516,1.476550079491256,3.1771197846567967,4.778542510121458,1514,2201,40.75370121130552,0.021256094298319383,-0.014106523301113503,0.0003050522158559167,5066.9818064556075,5066.9818064556075
20,15,30,-0.058777141226255325,1.840024706609018,-0.006046650823422595,0.15197379287763088,-0.03984000841568434,0.11016653428843459,-0.11621318511185719,-0.0003257801363223207,6133.835087674657,0.4018306180246485,-0.5744566532719872,3586,2516,1.4252782193958664,3.2777467930842166,4.789731051344743,1491,2095,41.57836029001673,0.02204850652012289,-0.013933278762352773,0.0010273575611751745,9412.228587737447,9412.228587737447
21,15,40,-0.11676869235154697,1.840024706609018,-0.012355172703626294,0.15312073367564083,-0.08068817756949062,0.11016653428843459,-0.12252170699206089,-0.00034669423908329557,5150.786511878348,0.3918068569807329,-0.621430934138683,3572,2516,1.4197138314785374,3.272676371780515,4.769481844145247,1486,2086,41.6013437849944,0.022292514796716966,-0.014206461583749183,0.0009776030582924484,8832.31307648453,8832.31307648453
22,15,50,-0.3534694587291414,1.840024706609018,-0.042727595299129284,0.15081354642558883,-0.2837618294801124,0.11016653428843459,-0.15289412958756388,-0.00046305570078537003,5793.602014336809,0.48471259155609936,-1.0991653002769688,3530,2516,1.40302066772655,3.2903682719546743,4.768062397372742,1435,2095,40.65155807365439,0.02239822857347835,-0.014241320633298624,0.0006532269904194946,6465.305412708586,6465.305412708586
23,15,60,-0.48664341008569467,1.840024706609018,-0.06458098735244044,0.1546626851264566,-0.41831934314706226,0.11016653428843459,-0.17474752164087504,-0.0005610046351630361,8653.224819910472,0.6287389655486215,-1.6576344351199221,3593,2516,1.428060413354531,3.2184803785137768,4.764730119489081,1485,2108,41.33036459782911,0.02126161335430474,-0.014436708179779682,0.0003175382655627543,5133.565899143053,5133.565899143053
24,15,70,-0.32399910861787706,1.840024706609018,-0.03844584254053807,0.15255142394999904,-0.2524802169873833,0.11016653428843459,-0.14861237682897266,-0.0004493123474983826,5854.01023197303,0.4652558662881118,-1.0175277855579754,3455,2516,1.3732114467408585,3.3342981186685963,4.762298470442332,1451,2004,41.99710564399421,0.02206380708969924,-0.014844548979454803,0.000655892310369369,6760.00891382123,6760.00891382123
25,15,80,-0.3403801216052208,1.840024706609018,-0.040804610848567235,0.1510966133300533,-0.2706034135066625,0.11016653428843459,-0.15097114513700183,-0.00045685359304415373,7174.713823606959,0.5223379027302896,-1.1549432576525565,3398,2516,1.3505564387917328,3.381400824014126,4.7715946843853825,1443,1955,42.466156562683935,0.021646096197685864,-0.014952520894839874,0.0005895051394493088,6596.1987839477915,6596.1987839477915
26,15,90,-0.6634573932288321,1.840024706609018,-0.10330311034991446,0.15089933517478876,-0.6860686365378156,0.11016653428843459,-0.21346964463834905,-0.0007202670725255102,9364.954894325463,0.7365474578069611,-2.422912553215852,3548,2516,1.410174880763116,3.217023675310034,4.751873438800999,1472,2076,41.48816234498309,0.020610550149498606,-0.014805673667434878,-0.00011213323380294724,3365.426067711679,3365.426067711679
27,20,10,-0.09201555833244746,1.840024706609018,-0.009618157544775574,0.1607556660358637,-0.05990212724290575,0.11016653428843459,-0.11978469183321017,-0.0003619978012594883,4755.896980507859,0.39944860751346756,-0.6064350935539107,3012,2516,1.1971383147853736,3.9827357237715804,4.831252517116392,1240,1772,41.168658698539176,0.025405983201278053,-0.016096142029332346,0.0009897262594979652,9079.844416675525,9079.844416675525
28,20,20,-0.26570072216316554,1.840024706609018,-0.030448762865705192,0.15238716206870684,-0.20000229497254818,0.11016653428843459,-0.14061529715413978,-0.000421217898301115,6033.428850528634,0.45357585880677054,-0.9131983874265295,3315,2516,1.3175675675675675,3.568325791855204,4.779393939393939,1367,1948,41.236802413273,0.022585859346289167,-0.01463026751713204,0.0007164731834099782,7342.992778368344,7342.992778368344
29,20,30,0.02926700664471804,1.840024706609018,0.002892423913776865,0.15694241043084192,0.018462791255407306,0.11016653428843459,-0.10727411037465773,-0.0002988304257543175,7524.6766215298085,0.43242160872500957,-0.5375294998925142,3227,2516,1.282591414944356,3.6392934614192747,4.770105605199025,1292,1935,40.037186241090794,0.024738404103803777,-0.014610336477025657,0.0011437920728446947,10292.670066447181,10292.670066447181
30,20,40,-0.07399487797331294,1.840024706609018,-0.007667487986054766,0.15420256872073604,-0.04976518058619006,0.11016653428843459,-0.11783402227448936,-0.00033076628039200044,5667.548621491091,0.4112165766225686,-0.6065723781999868,3206,2516,1.2742448330683624,3.6422333125389894,4.760293518141052,1311,1895,40.89207735495945,0.02399749503277196,-0.014751371034069701,0.0010938452521528238,9260.05122026687,9260.05122026687
31,20,50,-0.3528806812959312,1.840024706609018,-0.04264034736330602,0.15287784862775397,-0.2795145490715397,0.11016653428843459,-0.1528068816517406,-0.0004679470151436065,7676.578335253459,0.5694874069813429,-1.2780032865516766,3212,2516,1.2766295707472177,3.6155043586550435,4.751636661211129,1305,1907,40.62889165628892,0.02346391029463994,-0.014983460665655092,0.0006372800264946623,6471.193187040688,6471.193187040688
32,20,60,-0.31761305796390393,1.840024706609018,-0.03754020304136896,0.15666281280659736,-0.24000750051535003,0.11016653428843459,-0.14770673732980355,-0.0004512116601491865,8805.024935656322,0.5749592514792948,-1.2377286541208683,3221,2516,1.2802066772655007,3.5920521577149955,4.761316872427984,1321,1900,41.01210804098106,0.023071738966085456,-0.015010687014958191,0.000607718673014071,6823.86942036096,6823.86942036096
33,20,70,-0.5263284484448723,1.840024706609018,-0.07208606114020222,0.15358800735769182,-0.4703287046938623,0.11016653428843459,-0.1822525954286368,-0.0005879288927136281,7190.608318387276,0.6126811705606237,-1.6957482031309024,3149,2516,1.2515898251192368,3.651317878691648,4.749277158199091,1289,1860,40.933629723721815,0.022589985292510852,-0.015320706470957726,0.00019751572120200626,4736.715515551278,4736.715515551278
34,20,80,-0.3703985108424891,1.840024706609018,-0.04526732029384417,0.1528812401340514,-0.2967581748084553,0.11016653428843459,-0.15543385458227876,-0.00047580208625141226,7444.201934618225,0.5491355473829514,-1.2592567498120921,3042,2516,1.2090620031796502,3.775147928994083,4.765145228215768,1253,1789,41.190006574621954,0.02353737473253571,-0.015595067887009805,0.0005235878007911583,6296.014891575109,6296.014891575109
35,20,90,-0.5634063748615341,1.840024706609018,-0.07962812125669827,0.1502201517285784,-0.5312979965338741,0.11016653428843459,-0.18979465554513286,-0.0006119262801431748,9055.87615454564,0.6777950824790375,-1.9613199821528227,3147,2516,1.2507949125596185,3.6301239275500476,4.746157041960947,1263,1884,40.13346043851287,0.022597386689141154,-0.01506670773662509,4.919669926393456e-05,4365.936251384659,4365.936251384659
36,25,10,0.12424144104261536,1.840024706609018,0.011794310096477245,0.16243951397340264,0.07272779437478484,0.11016653428843459,-0.09837222419195735,-0.00027687598610378505,3836.865282469198,0.33465356442008265,-0.2903388846151298,2823,2516,1.1220190779014307,4.227771873893022,4.820274636510501,1144,1679,40.52426496634786,0.027524440450073788,-0.016344000599586062,0.001433362687984208,11242.414410426154,11242.414410426154
37,25,20,0.22969134278661252,1.840024706609018,0.020917594181624644,0.14967893623176487,0.13978956452895897,0.11016653428843459,-0.08924894010680995,-0.00021045406775733734,3766.370820345881,0.24547800433658218,-0.07490765149423595,2939,2516,1.1681240063593006,4.023137121469888,4.777373737373737,1215,1724,41.3405920381082,0.02427060267522822,-0.014690907716650051,0.0014160113463414768,12296.913427866126,12296.913427866126
38,25,30,0.07565573690231409,1.840024706609018,0.007328767622420296,0.1580554045071864,0.0464275060529603,0.11016653428843459,-0.1028377666660143,-0.0002848347698743485,6691.429640895305,0.4519743415638857,-0.5285027077377382,3114,2516,1.2376788553259142,3.7655748233782917,4.760860738936256,1257,1857,40.36608863198459,0.024859477974836668,-0.014637027313128588,0.0013061670179479463,10756.557369023141,10756.557369023141
39,25,40,0.05442602705810651,1.840024706609018,0.005320297057235912,0.15270168084469796,0.03485622309152271,0.11016653428843459,-0.10484623723119868,-0.0002773297108930712,5444.0377113655795,0.4095928223048434,-0.47394627972989056,3053,2516,1.2134340222575517,3.8250900753357353,4.760701182225846,1216,1837,39.82967572879135,0.02525745922033679,-0.014497139249411995,0.001336988408371995,10544.260270581066,10544.260270581066
40,25,50,-0.08464889406110776,1.840024706609018,-0.0088165710430268,0.15182947948711,-0.05813666875839026,0.11016653428843459,-0.11898310533146139,-0.00032411423777019147,5183.489191781938,0.40400182410199237,-0.6059652374669025,2997,2516,1.1911764705882353,3.8835502168835503,4.76227495908347,1177,1820,39.2726059392726,0.0254313966700097,-0.014602687592365672,0.001119740561393359,9153.511059388922,9153.511059388922
