,momentum_n,sharpe_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
0,5,10,-0.6333621743781297,1.840024706609018,-0.09558038394434287,0.15884938702416626,-0.6029607527111263,0.11016653428843459,-0.20574691823277746,-0.0007025814784151821,7841.544808452973,0.6875284906645243,-2.1666227534407465,4455,2516,1.7706677265500794,2.6895622895622897,4.823671497584541,1939,2516,43.52413019079685,0.018907026284962488,-0.014160231994213134,0.0002320045497423157,3666.378256218704,3666.378256218704
1,5,20,-0.39749164449048013,1.840024706609018,-0.049462697767415076,0.1555250172163469,-0.3185498122823072,0.11016653428843459,-0.15962923205584967,-0.000492209815738998,6966.486816578656,0.5537708336036812,-1.3135763785726304,4236,2516,1.6836248012718602,2.81728045325779,4.829623634156212,1894,2342,44.711992445703494,0.019109492580949704,-0.014343093793251481,0.0006142240992737882,6025.083555095199,6025.083555095199
2,5,30,-0.5892565143987907,1.840024706609018,-0.08523529339673463,0.15753336170994725,-0.5423627327883134,0.11016653428843459,-0.19540182768516923,-0.0006523002774841195,7991.032815297056,0.6668725173205965,-1.9890164133499528,4250,2516,1.6891891891891893,2.791294117647059,4.818440292445167,1884,2366,44.32941176470588,0.0188468232954568,-0.0145018351973557,0.00028142894392871174,4107.434856012093,4107.434856012093
3,5,40,-0.3612843214342767,1.840024706609018,-0.043892463869509735,0.15703437029005943,-0.27976291106422074,0.11016653428843459,-0.15405899815794433,-0.00047742133860053895,7131.81303833907,0.5502438522655515,-1.2473456081133794,4218,2516,1.6764705882352942,2.79800853485064,4.817142857142857,1903,2315,45.11616880037933,0.018982704722907136,-0.014409192092989827,0.0006559524401187349,6387.156785657233,6387.156785657233
4,5,50,-0.5328027011628252,1.840024706609018,-0.0733637976902437,0.1521335660960817,-0.483634439814337,0.11016653428843459,-0.1835303319786783,-0.0005927995596686009,6998.507888014368,0.6135745695384758,-1.7118199940689376,4220,2516,1.6772655007949127,2.781042654028436,4.813781788351108,1883,2337,44.62085308056872,0.018342295412228843,-0.013975672386824385,0.00044488054341666386,4671.972988371747,4671.972988371747
5,5,60,-0.507309713731234,1.840024706609018,-0.06842145596316085,0.1539444347005213,-0.44536878327697077,0.11016653428843459,-0.17858799025159544,-0.0005707207279871385,7356.4793270777145,0.6081619509862177,-1.6447811897610976,4255,2516,1.6911764705882353,2.743125734430082,4.805269658295595,1925,2330,45.24089306698003,0.018224704923928855,-0.014265479250234029,0.0004333702292638676,4926.90286268766,4926.90286268766
6,5,70,-0.6138391645299434,1.840024706609018,-0.09087029490110077,0.15607706241447017,-0.5833975290979522,0.11016653428843459,-0.20103682918953536,-0.0006677696728992006,7636.328547001496,0.6771659804005233,-2.0821182831444336,4224,2516,1.6788553259141494,2.753314393939394,4.809760132340777,1901,2323,45.00473484848485,0.018372487756915717,-0.014506730350372641,0.00029047457906750254,3861.6083547005665,3861.6083547005665
7,5,80,-0.5089531334813086,1.840024706609018,-0.0687330449219209,0.15390905863567447,-0.4473410559361541,0.11016653428843459,-0.17889957921035549,-0.0005700743148613536,7566.144683632269,0.6125258541135534,-1.6593218572922321,4163,2516,1.654610492845787,2.7804467931779966,4.810889443059019,1882,2281,45.20778284890704,0.018362702354941935,-0.014415343564070801,0.00040288425711151155,4910.468665186914,4910.468665186914
8,5,90,-0.5886090074351481,1.840024706609018,-0.08509101187646284,0.15331156811555474,-0.556048435600302,0.11016653428843459,-0.19525754616489743,-0.0006342669073775431,8398.527949273463,0.6757370307284383,-2.0144116554269758,4236,2516,1.6836248012718602,2.7223796033994336,4.800999167360533,1886,2350,44.523135033050046,0.018285078755471654,-0.014255865295983399,0.00023238316507520206,4113.909925648519,4113.909925648519
9,10,10,0.175439901869908,1.840024706609018,0.016315858974087716,0.15820647862682982,0.1032778566210661,0.11016653428843459,-0.09385067531434688,-0.0002505917950703896,3114.0286280096934,0.261783183572844,-0.14187524623073244,2100,2516,0.834658187599364,5.7561904761904765,4.852669610598153,831,1269,39.57142857142858,0.03134589771600169,-0.01781793893268748,0.0016368935697223792,11754.39901869908,11754.39901869908
