,moveaverage_n,sharpe_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
0,5,10,-0.9993674472177276,1.840024706609018,-0.6357398728161027,0.3095279102534802,-2.217054327121351,0.11016653428843459,-0.7459064071045373,-0.004308971051109105,10034.639501614723,0.9993700279002886,-14.735581916343143,5629,1838,3.062568008705114,1.4970687511103216,4.6868743047830925,2454,3175,43.59566530467223,0.01454967363377886,-0.011687375185415247,-0.000249159196375927,6.3255278227234975,6.3255278227234975
1,5,20,-0.9997861594950526,1.840024706609018,-0.6165436350845479,0.45973659275252204,-1.7480679220861188,0.11016653428843459,-0.7267101693729825,-0.004122664411406647,10581.265175163124,0.999800778570803,-16.97137376711239,6675,2222,3.004050405040504,1.543820224719101,4.748847926267281,2914,3761,43.655430711610485,0.014721243002393908,-0.011443945018974493,-2.1419491743402094e-05,2.13840504947485,2.13840504947485
2,5,30,-0.9995054405792536,1.840024706609018,-0.5601568094479363,0.33780316958861584,-1.9206761637487404,0.11016653428843459,-0.6703233437363709,-0.0035549472401966205,10568.39054572232,0.9995367358055551,-15.289056303096414,6795,2335,2.910064239828694,1.5939661515820456,4.752523036419483,2942,3853,43.29654157468727,0.01522301981901709,-0.011620072351237729,2.0582101882712023e-06,4.945594207463614,4.945594207463614
3,5,40,-0.9998219254550713,1.840024706609018,-0.6220318489445191,0.46310345894160676,-1.7820602913011938,0.11016653428843459,-0.7321983832329537,-0.004148320117179831,10823.660733388797,0.9998362242537792,-17.350320770585064,6349,2237,2.838176128743853,1.6257678374547173,4.761070110701107,2725,3624,42.9201449047094,0.015610960168382364,-0.011768667506185706,-1.72916338911723e-05,1.7807454492870702,1.7807454492870702
4,5,50,-0.9997439130774928,1.840024706609018,-0.574293379975114,0.3737748443479629,-1.8274208629994442,0.11016653428843459,-0.6844599142635486,-0.003668025110217013,10321.97071913452,0.9997559748941723,-16.588233075299737,6877,2439,2.8195981959819596,1.637923513159808,4.772881355932204,2986,3891,43.420095972080844,0.015257912910308983,-0.011526751392117703,0.00010317555379564438,2.560869225071764,2.560869225071764
5,5,60,-0.9996908764795531,1.840024706609018,-0.5594516912605597,0.3845380199492443,-1.8013737102576477,0.11016653428843459,-0.6696182255489943,-0.003542150978676134,10654.81535054356,0.9997122779988378,-16.235285436142902,6947,2485,2.7955734406438633,1.6492010939974089,4.777731442869057,3042,3905,43.78868576363898,0.015140629820508223,-0.011753272283435838,2.3213998440918518e-05,3.0912352044690325,3.0912352044690325
6,5,70,-0.9996401230418563,1.840024706609018,-0.5619417634641967,0.34924067811781695,-1.8990645957750765,0.11016653428843459,-0.6721082977526313,-0.003547915971381288,10285.526014199542,0.9996502355975787,-15.887999133947202,6707,2420,2.771487603305785,1.6543909348441925,4.774526678141136,2902,3805,43.26822722528701,0.015279563185270888,-0.01174109610340792,-4.973584461175377e-05,-0.40029402144266074,3.59876958143691
7,5,80,-0.9996742219457155,1.840024706609018,-0.5635794410460255,0.3784510976305481,-1.7878225177513722,0.11016653428843459,-0.6737459753344601,-0.0035818007324920583,9996.749849951304,0.9996749849951303,-16.060933431406355,6663,2439,2.731857318573186,1.6680174095752665,4.769957081545065,2897,3766,43.478913402371305,0.015583203370075719,-0.011914254682100516,4.134129225856276e-05,3.25778054284435,3.25778054284435
8,5,90,-0.9992667714853563,1.840024706609018,-0.542759122748433,0.26074333996662175,-2.221930386442311,0.11016653428843459,-0.6529256570368676,-0.0033894680234492396,9992.667714853562,0.9992667714853563,-14.436106304157528,6274,2323,2.7008179078777443,1.6815428753586228,4.778079710144928,2740,3534,43.67229837424291,0.015431904628535763,-0.012040457081084295,-4.264530480776306e-05,7.332285146437778,7.332285146437778
9,10,10,-0.999084430528453,1.840024706609018,-0.5067100659349824,0.23296336607261242,-2.2711713017911537,0.11016653428843459,-0.616876600223417,-0.00309038675660267,9990.84430528453,0.999084430528453,-13.991928626014552,6267,2495,2.511823647294589,1.8500079782990266,4.724531377343113,2629,3638,41.949896282112654,0.01629859576136577,-0.012140528585458525,-0.00021034541842468576,9.155694715469942,9.155694715469942
10,10,20,-0.985472986136291,1.840024706609018,-0.34537749768574477,0.16265567598772812,-2.130457666363075,0.11016653428843459,-0.45554403197417936,-0.001975361081773867,10405.046661644963,0.9862307320825469,-8.517061470441996,6455,2516,2.5655802861685215,1.8030983733539891,4.74673735725938,2770,3685,42.91247095274981,0.015855597725464163,-0.012090128166372668,-9.792666050310529e-05,145.2701386370905,145.2701386370905
11,10,30,-0.8437084148101058,1.840024706609018,-0.1695870230606037,0.15414060767328136,-1.1019255501965797,0.11016653428843459,-0.2797535573490383,-0.0010322409745231094,10145.833672849174,0.8665172699616218,-3.8698150530790123,6266,2516,2.490461049284579,1.8530162783274817,4.7391836734693875,2686,3580,42.866262368337054,0.01628334629906932,-0.011965618848026658,0.00014365666826759692,1562.9158518989416,1562.9158518989416
12,10,40,-0.9987634495545182,1.840024706609018,-0.4892332353244123,0.21518949807107232,-2.3418867187869954,0.11016653428843459,-0.5993997696128469,-0.0029571753016763625,11807.921785941893,0.9989538744574454,-13.558091573820747,6121,2511,2.437674233373158,1.884169253389969,4.730516817063166,2595,3526,42.395033491259596,0.016242037858986137,-0.012318738259393378,-0.00021038765864271047,12.365504454817575,12.365504454817575
13,10,50,-0.9204709850037838,1.840024706609018,-0.2239013385515619,0.1520553122714163,-1.4759755951751037,0.11016653428843459,-0.3340678728399965,-0.0012972276058094878,9841.78856004794,0.9252341576438888,-5.125027506693394,6006,2516,2.387122416534181,1.91991341991342,4.74331550802139,2571,3435,42.807192807192806,0.01625081736051481,-0.012086654471789604,4.382173214889961e-05,795.2901499621621,795.2901499621621
14,10,60,-0.8885908228113902,1.840024706609018,-0.19726069269662783,0.15091861970036438,-1.3106715131173112,0.11016653428843459,-0.3074272269850624,-0.0011603500899582371,10878.351680355161,0.9071005190624529,-4.570782794876402,5939,2516,2.3604928457869634,1.9383734635460514,4.76095947063689,2528,3411,42.56608856709884,0.01626535354474037,-0.012128989648800988,-4.262837699217359e-05,1114.0917718860974,1114.0917718860974
15,10,70,-0.9645171225496293,1.840024706609018,-0.28414836648637576,0.15516961648677643,-1.8363691061350556,0.11016653428843459,-0.39431490077481035,-0.0016150583016525195,11114.84924128273,0.9690637545347538,-6.814531814292451,5873,2516,2.3342607313195547,1.94891878086157,4.753322259136213,2476,3397,42.15903286225098,0.016357497815298723,-0.01237148105068045,-0.00025962140958315263,354.82877450370756,354.82877450370756
16,10,80,-0.9568321097302723,1.840024706609018,-0.26995820827223194,0.15562108329165386,-1.740857712005301,0.11016653428843459,-0.38012474256066653,-0.0015447257960102747,11211.198878424577,0.9629233501534118,-6.437426232598657,5818,2516,2.3124006359300475,1.9613269164661395,4.760534000834376,2471,3347,42.471639738741835,0.016471841159486748,-0.012444432832140149,-0.00016321711654886995,431.67890269727644,431.67890269727644
17,10,90,-0.9360156669090367,1.840024706609018,-0.240618368884308,0.1529436567056887,-1.5782506165224588,0.11016653428843459,-0.3507849031727426,-0.0013786380818671352,12013.097807378086,0.949431256818743,-5.733538638292639,5810,2516,2.309220985691574,1.9585197934595524,4.75909661229611,2472,3338,42.547332185886404,0.01634503632668484,-0.012411582222098526,-0.00017640820271943948,639.8433309096333,639.8433309096333
18,15,10,-0.5680367778626167,1.840024706609018,-0.08061014410474499,0.15211745159422096,-0.5301866428397632,0.11016653428843459,-0.19077667839317958,-0.0006299355575816915,6816.058608258005,0.6258937935476144,-1.8226303757124747,5247,2516,2.0854531001589827,2.2332761578044598,4.730722648364957,2190,3057,41.73813607775872,0.018339857516524612,-0.01227013437702308,0.0005059056928967694,4319.632221373832,4319.632221373832
19,15,20,-0.7665080926786731,1.840024706609018,-0.13553133387376526,0.1506028767198075,-0.9009504480473893,0.11016653428843459,-0.24569786816219985,-0.0008636156681004657,9019.065928460803,0.7943524610197212,-3.0361994120338878,5619,2516,2.233306836248013,2.0587293112653495,4.704351362342416,2352,3267,41.85798184730379,0.017194724413870016,-0.012106285483570844,0.00015852592037663693,2334.919073213269,2334.919073213269
20,15,30,-0.915507085364183,1.840024706609018,-0.21918230502692837,0.15120882692718268,-1.4530353536383243,0.11016653428843459,-0.32934883931536296,-0.0012701408216873112,10758.317462004545,0.9272251405050629,-5.0914723186282815,5644,2516,2.2432432432432434,2.0370304748405386,4.7099549365014335,2347,3297,41.58398299078668,0.016775430152300697,-0.01223147828638538,-0.00016925041508909677,844.9291463581699,844.9291463581699
21,15,40,-0.8913585725760262,1.840024706609018,-0.199280082902338,0.15090237954062005,-1.3227771912910047,0.11016653428843459,-0.3094466171907726,-0.0011712664741859579,10502.640063152325,0.9062551401856471,-4.586880920511991,5590,2516,2.2217806041335453,2.0508050089445438,4.708008213552361,2311,3279,41.341681574239715,0.017216934103701384,-0.012229688529616894,-5.5959566182451885e-05,1086.4142742397376,1086.4142742397376
22,15,50,-0.9039756024723301,1.840024706609018,-0.20911628975001706,0.1486086098850952,-1.4097883798093493,0.11016653428843459,-0.31928282403845165,-0.001216529398156932,9716.116716424047,0.9100588671546903,-4.751752881041153,5494,2516,2.18362480127186,2.0782672005824536,4.708453608247423,2282,3212,41.53622133236258,0.017065733604329295,-0.012316591771441178,-0.00011228407076621953,960.2439752766991,960.2439752766991
23,15,60,-0.853830408800559,1.840024706609018,-0.17513536544969177,0.14883687539966392,-1.1785892620456186,0.11016653428843459,-0.28530189973812636,-0.0010478676693487868,9738.836122245635,0.8697588298553817,-3.9613551400748257,5414,2516,2.1518282988871222,2.1039896564462506,4.7167701863354035,2264,3150,41.81751015884743,0.017177067436663574,-0.012432058572902444,-5.0259295906237164e-05,1461.6959119944092,1461.6959119944092
24,15,70,-0.9135928347389187,1.840024706609018,-0.21742892160018445,0.15185286941181378,-1.4344521102020098,0.11016653428843459,-0.32759545588861905,-0.0012560808513090264,10239.159468451284,0.9223448933950628,-5.004162642507353,5330,2516,2.118441971383148,2.131332082551595,4.721529509559435,2214,3116,41.53846153846154,0.01727159037019233,-0.012720521675362587,-0.00026225974874746505,864.0716526108124,864.0716526108124
25,15,80,-0.8965797218381718,1.840024706609018,-0.20321891339476028,0.148725458020675,-1.3695418119247456,0.11016653428843459,-0.3133854476831949,-0.0011846557548933477,10663.316139681354,0.9117764894152371,-4.696836013957069,5251,2516,2.087042925278219,2.1548276518758334,4.7185154295246035,2176,3075,41.43972576652067,0.01735442410388522,-0.012676045628917772,-0.00023150132524622343,1034.202781618282,1034.202781618282
26,15,90,-0.8793261863780222,1.840024706609018,-0.19081464163610562,0.15046900010250452,-1.271011028245794,0.11016653428843459,-0.3009811759245402,-0.0011215401600423434,11568.75076887786,0.905739541567619,-4.476357622677377,5228,2516,2.077901430842607,2.1610558530986994,4.721270371918094,2165,3063,41.411629686304515,0.017504370712899946,-0.012756447991188481,-0.00022494980940740775,1206.7381362197784,1206.7381362197784
