,id,signal,preference,max_positions,date,signal_n,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,5,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
1,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,10,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
2,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,15,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
3,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,20,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
4,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,25,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
5,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,30,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
6,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,35,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
7,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,40,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
8,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,45,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
9,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,50,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
10,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,55,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
11,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,5,60,0,1.840024707,0.110166534,0,-0.110166534,0,,,,-2.99761621,0,0,0,0,0,0,0,0,2516,0,,,0,0,0,,,,0,10000,5,,0,0,
12,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,5,2.642052377,1.840024707,0.110166534,0.138161429,0.027994895,0.178217998,0.776753932,1.094703388,0.595371727,0.99350293,0.127283464,0.000115632,0.000115632,0.959685713,6728.286128,0.232059103,1.028504857,1596,2516,0.634340223,7.575814536,4.824820431,609,987,0.381578947,0.051169242,-0.023373074,0.005070704,0.000513935,36420.52377,5.115632277,1.9715773,9.499163846,9.623537769,35.78699885
13,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,10,1.576885064,1.840024707,0.110166534,0.099411348,-0.010755186,0.174375298,0.57165123,0.792396466,0.35518479,0.991114949,0.090276072,-1.91E-05,-1.91E-05,0.952855687,7527.514285,0.279886277,0.618235199,1802,2516,0.716216216,6.706437292,4.826277955,675,1127,0.374583796,0.044070944,-0.020526342,0.003670755,0.000376374,25768.85064,4.98090593,2.019529243,6.788297688,9.567392133,26.12009075
14,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,15,3.104907031,1.840024707,0.110166534,0.151876682,0.041710148,0.177217264,0.858107247,1.21700639,0.558737326,0.991613355,0.138543245,0.000165479,0.000165479,0.954196937,12449.77531,0.271821257,1.094974361,1763,2516,0.700715421,6.885422575,4.8556,727,1036,0.412365286,0.043696147,-0.021698364,0.005268062,0.000561504,41049.07031,5.165479191,1.967589177,10.66158089,9.586632144,40.73860996
15,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,20,3.491917559,1.840024707,0.110166534,0.162314508,0.052147973,0.18005014,0.902217968,1.293107929,0.558603568,0.998846256,0.151976089,0.000189344,0.000189344,0.983011423,12825.04759,0.290571914,1.158983538,1629,2516,0.64745628,7.432780847,4.854851644,697,932,0.427869859,0.044793259,-0.023673731,0.00562123,0.000597328,44919.17559,5.189343867,1.902679248,11.57883619,10.18628972,41.55295996
16,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,25,2.092052466,1.840024707,0.110166534,0.119657413,0.009490879,0.178591017,0.671292341,0.941957787,0.388517403,0.994884704,0.105760976,4.87E-05,4.87E-05,0.96422866,11030.02371,0.307984694,0.760687894,1547,2516,0.614864865,7.809308339,4.857659831,664,883,0.429217841,0.044277318,-0.024932967,0.004773322,0.000448841,30920.52466,5.048652456,1.852633379,8.520221347,9.847402092,30.30199532
17,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,30,2.006946963,1.840024707,0.110166534,0.116532981,0.006366447,0.176076322,0.662978903,0.932405466,0.40936908,0.988730345,0.104184104,4.47E-05,4.47E-05,0.946904834,9960.583425,0.284664834,0.765921184,1478,2516,0.587440382,8.142083897,4.852419355,667,811,0.451285521,0.042294845,-0.025876937,0.004888001,0.000437744,30069.46963,5.0447451,1.800461703,8.39046708,9.467515019,30.65534251
18,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,35,1.883006025,1.840024707,0.110166534,0.111837402,0.001670867,0.173293289,0.646412585,0.906103779,0.387691859,0.982695014,0.09324244,3.33E-05,3.33E-05,0.934206163,9405.355245,0.288469822,0.718496061,1404,2516,0.558028617,8.570512821,4.855932203,621,783,0.442307692,0.043560077,-0.025900568,0.00482241,0.000421007,28830.06025,5.033279206,1.812470061,7.968429993,9.227310399,29.95948501
19,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,40,1.550967952,1.840024707,0.110166534,0.098299206,-0.011867329,0.176410704,0.558358408,0.780127269,0.365408092,0.98650519,0.083499473,-1.86E-05,-1.86E-05,0.941899115,8562.765297,0.26901212,0.623114477,1379,2516,0.54809221,8.704858593,4.854023453,610,769,0.442349529,0.043369679,-0.026761043,0.004261249,0.000372355,25509.67952,4.981434024,1.782180123,7.022764186,9.346305597,25.93324281
20,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,45,2.330170741,1.840024707,0.110166534,0.128005193,0.017838659,0.175422369,0.730463771,1.037734268,0.453830576,0.985159554,0.116256644,8.86E-05,8.86E-05,0.939071105,9201.342819,0.282055022,0.871661231,1301,2516,0.51709062,9.21829362,4.857432159,608,693,0.467332821,0.043988524,-0.027581505,0.005865519,0.000478339,33301.70741,5.08859212,1.762103482,9.296328349,9.313332995,34.43845996
21,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,50,2.446831951,1.840024707,0.110166534,0.131900638,0.021734103,0.175633319,0.752635087,1.057690099,0.595124961,0.978743137,0.121430684,0.00010726,0.00010726,0.927079536,8864.381247,0.221635197,0.986895568,1279,2516,0.508346582,9.35809226,4.857548701,607,672,0.474589523,0.043914713,-0.028476731,0.00587949,0.00049203,34468.31951,5.107259679,1.733629772,9.584775233,8.984029916,36.70512879
22,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,55,2.700839742,1.840024707,0.110166534,0.139987609,0.029821074,0.173039415,0.810202887,1.146246933,0.669773,0.965038491,0.131006126,0.00014408,0.00014408,0.906482059,8472.202597,0.209007543,1.074092904,1244,2516,0.494435612,9.618167203,4.863821138,585,659,0.470257235,0.045317324,-0.028109222,0.006420143,0.000520302,37008.39742,5.144080405,1.758566618,10.04618083,8.578762668,40.79453195
23,BOLLIBANDSIGNA_ROLLISHARPRATIO_MAXPOS5_210516_0,BOLLIBANDSIGNA,ROLLISHARPRATIO,5,210516,10,60,3.353445241,1.840024707,0.110166534,0.158676269,0.048509734,0.172840477,0.919411769,1.305245525,0.716163091,0.969741738,0.145011507,0.000205951,0.000205951,0.912999439,9874.752361,0.221564432,1.220498485,1216,2516,0.483306836,9.792763158,4.856443719,576,640,0.473684211,0.046532856,-0.028275928,0.007159812,0.000584878,43534.45241,5.205951127,1.764925962,11.45187217,8.718632778,46.7438234
