,id,signal,preference,max_positions,date,signal_n,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,5,-0.835384868,1.840024707,0.110166534,-0.165261734,-0.275428268,0.161429437,-1.027494083,-1.328790806,-0.197142182,0.773801229,-0.144697813,-0.001033664,-0.001033664,0.762127933,8382.870263,0.838287026,-3.626077346,7667,2516,3.047297297,1.532802922,4.750202102,3238,4429,0.422329464,0.014612368,-0.011721234,-0.000599778,-0.000717354,1646.15132,3.966336415,2.026773895,-9.883731613,7.161631889,0.485074801
1,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,10,-0.754960434,1.840024707,0.110166534,-0.131343086,-0.241509621,0.158658022,-0.830018121,-1.098379493,-0.168987579,0.731219347,-0.112723272,-0.000866597,-0.000866597,0.740702943,7902.16216,0.777235149,-2.907974132,7807,2516,3.102941176,1.500576406,4.740995548,3395,4412,0.434866146,0.014357302,-0.011622863,-0.000324968,-0.000559179,2450.395664,4.133403275,2.026446634,-7.657863375,6.719554408,0.041556567
2,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,15,-0.64907685,1.840024707,0.110166534,-0.099538599,-0.209705133,0.158536611,-0.629277128,-0.846139996,-0.146834962,0.745232933,-0.070340075,-0.000726637,-0.000726637,0.747552921,7193.5656,0.677894401,-2.180063865,7760,2516,3.084260731,1.51185567,4.757502028,3370,4390,0.434278351,0.014587385,-0.011371997,-9.84E-05,-0.000416377,3509.2315,4.273362506,2.052303995,-5.870345006,6.663064512,0.943737763
3,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,20,-0.65551138,1.840024707,0.110166534,-0.101205521,-0.211372055,0.155090819,-0.653933601,-0.880617397,-0.146393085,0.698092316,-0.077924592,-0.000724714,-0.000724714,0.7251879,7671.738623,0.691327196,-2.241167672,7600,2516,3.020667727,1.541973684,4.761885412,3308,4292,0.435263158,0.014485424,-0.011389738,-0.000127233,-0.000423735,3444.8862,4.275286442,2.047903723,-5.735091558,6.331159909,1.097509522
4,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,25,-0.780205913,1.840024707,0.110166534,-0.140748231,-0.250914766,0.157912043,-0.893429776,-1.178223582,-0.174625035,0.737094992,-0.113999636,-0.000911012,-0.000911012,0.743552801,8914.762324,0.806002595,-3.154974635,7491,2516,2.977344992,1.563476171,4.762911753,3229,4262,0.431050594,0.014407122,-0.011664977,-0.000426583,-0.000602411,2197.940872,4.088988456,2.024809482,-8.220721265,6.801482838,0.000991355
5,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,30,-0.648935903,1.840024707,0.110166534,-0.099502394,-0.209668928,0.157242612,-0.634325606,-0.848855639,-0.145229964,0.743318345,-0.08158149,-0.000726085,-0.000726085,0.746606118,7459.504027,0.685136805,-2.202403494,7365,2516,2.927265501,1.589273591,4.762001627,3180,4185,0.431771894,0.015052137,-0.011659787,-0.000126329,-0.000416217,3510.640974,4.273915131,2.04421693,-5.846214572,6.651533958,0.95180036
6,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,35,-0.772561023,1.840024707,0.110166534,-0.137801714,-0.247968248,0.160383326,-0.861405701,-1.140569588,-0.17335002,0.76682883,-0.120653847,-0.000903616,-0.000903616,0.75848956,8538.350743,0.794933358,-3.065293577,7289,2516,2.897058824,1.603923721,4.771836735,3076,4213,0.422005762,0.015233087,-0.011874262,-0.000434805,-0.000588816,2274.389772,4.096383943,2.033574669,-8.191172208,7.028004693,0.000108695
7,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,40,-0.646968076,1.840024707,0.110166534,-0.098998283,-0.209164818,0.158110024,-0.627395691,-0.846774211,-0.142580242,0.738523073,-0.080815947,-0.000722885,-0.000722885,0.744250139,7954.31945,0.694333815,-2.226458464,7219,2516,2.869236884,1.615874775,4.772913257,3080,4139,0.426651891,0.015346373,-0.011659701,-0.000137509,-0.000413995,3530.319235,4.277115476,2.052630889,-5.767516066,6.636894064,1.030225731
8,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,45,-0.611475575,1.840024707,0.110166534,-0.090314682,-0.200481217,0.158843838,-0.569175221,-0.779511222,-0.142825614,0.759619138,-0.070451283,-0.000689166,-0.000689166,0.754784077,6663.690755,0.632342335,-1.946002273,7143,2516,2.839030207,1.630407392,4.770995494,3067,4076,0.429371413,0.015338713,-0.011678168,-7.79E-05,-0.000375904,3885.244251,4.310834002,2.051039482,-5.369165196,6.701426866,1.382451927
9,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,50,-0.494434761,1.840024707,0.110166534,-0.066012251,-0.176178785,0.153739216,-0.429958037,-0.588361408,-0.12702616,0.72432333,-0.044615086,-0.00057725,-0.00057725,0.73739748,5389.40714,0.519674455,-1.415369378,7119,2516,2.829491256,1.63576345,4.778416085,3094,4025,0.434611603,0.015144411,-0.011467142,9.85E-05,-0.000271204,5055.652386,4.422750265,2.061342022,-3.825195158,6.236493871,3.572625598
10,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,55,-0.638728554,1.840024707,0.110166534,-0.096914602,-0.207081136,0.155080705,-0.626515434,-0.836817143,-0.147764887,0.725326222,-0.078515535,-0.000711065,-0.000711065,0.73787566,6759.368416,0.65587031,-2.084862363,7080,2516,2.813990461,1.641666667,4.777229758,3049,4031,0.430649718,0.01521072,-0.011743539,-0.000135695,-0.000404821,3612.714457,4.288934513,2.042551758,-5.601547414,6.461733203,1.189573133
11,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,60,-0.552434988,1.840024707,0.110166534,-0.077338192,-0.187504726,0.155565345,-0.498232068,-0.673273306,-0.130480126,0.720137792,-0.066679654,-0.000624877,-0.000624877,0.735411498,6413.959752,0.592720087,-1.702188058,7041,2516,2.798489666,1.649197557,4.780568135,3079,3962,0.437295839,0.015123638,-0.011726978,1.47E-05,-0.000319655,4475.650121,4.375123112,2.041284042,-4.475691214,6.330367756,2.504802955
12,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,10,5,-0.620388842,1.840024707,0.110166534,-0.092426083,-0.202592617,0.15566845,-0.595286351,-0.792978908,-0.135541955,0.723129325,-0.081385607,-0.000690942,-0.000690942,0.736829473,8032.17117,0.681900176,-2.113997852,5775,2516,2.295310016,2.040692641,4.752016129,2406,3369,0.416623377,0.016844769,-0.012438057,-0.000238147,-0.000385132,3796.111576,4.309057726,2.036959979,-5.267143887,6.490680152,1.495747753
