,id,signal,preference,max_positions,date,signal_n,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,5,-0.8353848679856516,1.840024706609018,0.11016653428843459,-0.1652617339338035,-0.2754282682222381,0.16142943732840379,-1.0274940826397834,-1.3287908063955178,-0.1971421824996805,0.7738012285614864,-0.14469781333899878,-0.0010336635854993855,-0.0010336635854993855,0.7621279327692178,8382.870263398416,0.8382870263398415,-3.6260773456373814,7667,2516,3.0472972972972974,1.5328029216121037,4.750202101859337,3238,4429,0.42232946393635057,0.014612367940284815,-0.011721234432291516,-0.0005997782587683448,-0.000717353901757943,1646.1513201434839,3.9663364145006144,2.0267738948328735,-9.883731612681684,7.161631888888227,0.48507480084522714
1,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,10,-0.7549604336309663,1.840024706609018,0.11016653428843459,-0.1313430862684264,-0.24150962055686098,0.15865802194376777,-0.8300181212737237,-1.098379492801463,-0.16898757905815787,0.7312193471381873,-0.11272327172478246,-0.0008665967248151708,-0.0008665967248151708,0.7407029427440539,7902.162159728718,0.7772351494734654,-2.9079741319156165,7807,2516,3.1029411764705883,1.500576405789676,4.740995548360988,3395,4412,0.4348661457666197,0.014357302074592848,-0.011622862546599402,-0.0003249684913992364,-0.0005591791594801469,2450.3956636903367,4.133403275184828,2.026446634314205,-7.657863374547829,6.719554407903299,0.04155656721098215
2,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,15,-0.6490768500207058,1.840024706609018,0.11016653428843459,-0.09953859850187485,-0.20970513279030945,0.15853661080339643,-0.6292771276441304,-0.8461399956366992,-0.1468349618618643,0.745232933474644,-0.0703400749335319,-0.0007266374939944053,-0.0007266374939944053,0.7475529214885197,7193.56559970643,0.677894400895587,-2.1800638650879005,7760,2516,3.0842607313195547,1.5118556701030927,4.75750202757502,3370,4390,0.43427835051546393,0.01458738504416937,-0.011371996721787105,-9.839922806631585e-05,-0.0004163769484756941,3509.231499792942,4.273362506005594,2.052303994962811,-5.870345006276112,6.663064512266061,0.9437377628255063
3,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,20,-0.6555113799633048,1.840024706609018,0.11016653428843459,-0.1012055209116609,-0.2113720552000955,0.15509081899548338,-0.6539336009766041,-0.8806173966882219,-0.14639308491087408,0.6980923164357815,-0.07792459192058515,-0.0007247135584011581,-0.0007247135584011581,0.7251878996844896,7671.738623032254,0.6913271960439668,-2.2411676723240763,7600,2516,3.0206677265500796,1.5419736842105263,4.76188541243397,3308,4292,0.43526315789473685,0.014485424087166757,-0.011389738306212177,-0.00012723341183092617,-0.00042373527727603564,3444.886200366952,4.275286441598842,2.0479037230412644,-5.735091557885132,6.331159908771112,1.0975095216067483
4,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,25,-0.7802059128267262,1.840024706609018,0.11016653428843459,-0.14074823141661008,-0.2509147657050447,0.15791204303554915,-0.8934297762641111,-1.178223582215422,-0.17462503505347274,0.7370949922414936,-0.11399963620893214,-0.0009110115439845724,-0.0009110115439845724,0.7435528006174603,8914.762324321826,0.8060025950661136,-3.1549746349527013,7491,2516,2.9773449920508743,1.5634761714056868,4.762911752745018,3229,4262,0.4310505940461888,0.014407122159700303,-0.011664976774241971,-0.00042658304073514797,-0.0006024111881968094,2197.940871732738,4.088988456015428,2.024809481780505,-8.22072126535552,6.8014828378491305,0.0009913549485281263
5,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,30,-0.6489359025626633,1.840024706609018,0.11016653428843459,-0.09950239361008373,-0.20966892789851832,0.1572426115002379,-0.6343256062777846,-0.8488556389069927,-0.14522996415973574,0.7433183445146454,-0.08158148966951359,-0.0007260848687045435,-0.0007260848687045435,0.7466061179620952,7459.504026589082,0.6851368048307365,-2.2024034939490296,7365,2516,2.9272655007949124,1.5892735913102511,4.7620016273393,3180,4185,0.4317718940936864,0.015052137222953026,-0.011659787071310261,-0.00012632892388904588,-0.0004162172796845141,3510.6409743733675,4.273915131295457,2.0442169299220603,-5.846214572468671,6.651533958049438,0.9518003595484793
6,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,35,-0.7725610228091245,1.840024706609018,0.11016653428843459,-0.13780171380839223,-0.24796824809682683,0.16038332646827713,-0.8614057011807842,-1.140569587767213,-0.1733500204425296,0.7668288295830836,-0.1206538472039994,-0.0009036160571351304,-0.0009036160571351304,0.7584895602654208,8538.350742799461,0.7949333577037413,-3.065293577000034,7289,2516,2.8970588235294117,1.6039237206749897,4.771836734693878,3076,4213,0.42200576210728497,0.015233087002585015,-0.011874261994306044,-0.0004348045221648858,-0.0005888164249303476,2274.389771908755,4.09638394286487,2.033574668549215,-8.191172208481651,7.028004692607544,0.00010869519914323241
7,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,40,-0.6469680764983612,1.840024706609018,0.11016653428843459,-0.09899828346658379,-0.20916481775501838,0.15811002432836416,-0.6273956907142185,-0.8467742106385265,-0.14258024204151948,0.7385230726180178,-0.08081594727719035,-0.000722884523719792,-0.000722884523719792,0.7442501393488686,7954.319450462266,0.6943338154648062,-2.226458463995268,7219,2516,2.8692368839427664,1.6158747748995705,4.77291325695581,3080,4139,0.42665189084360716,0.01534637267098668,-0.011659701322426802,-0.00013750878887457547,-0.0004139947480274325,3530.3192350163877,4.2771154762802075,2.052630889233102,-5.767516066047018,6.636894063759567,1.030225730662515
8,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,45,-0.6114755749043683,1.840024706609018,0.11016653428843459,-0.09031468235508877,-0.20048121664352336,0.15884383822379083,-0.569175220894132,-0.7795112218178648,-0.14282561416576037,0.7596191382710762,-0.07045128273393429,-0.0006891659981367286,-0.0006891659981367286,0.7547840771059936,6663.690755443459,0.6323423349699129,-1.9460022727338533,7143,2516,2.8390302066772657,1.6304073918521629,4.770995493650143,3067,4076,0.42937141257174855,0.015338713292191523,-0.011678168140696164,-7.789159657373035e-05,-0.00037590427073227095,3885.244250956316,4.310834001863271,2.0510394820386635,-5.369165196128587,6.701426866107615,1.3824519272291385
9,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210525_0,MASIGNA,ROLLISHARPRATIO,5,210525,5,50,-0.4944347613547845,1.840024706609018,0.11016653428843459,-0.06601225054454685,-0.17617878483298144,0.15373921575428282,-0.4299580368139484,-0.5883614076501372,-0.12702616008653458,0.7243233302410412,-0.044615086300785735,-0.0005772497352498156,-0.0005772497352498156,0.7373974802925959,5389.407140309201,0.5196744552427393,-1.4153693779145868,7119,2516,2.829491255961844,1.635763449922742,4.778416085350841,3094,4025,0.43461160275319566,0.01514441086521449,-0.01146714173791516,9.854779068199541e-05,-0.00027120405216406315,5055.652386452155,4.422750264750184,2.061342022300677,-3.825195158082159,6.236493871384222,3.572625597759301
