,id,signal,preference,max_positions,date,signal_n,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,5,-0.32581681,1.840024707,0.110166534,-0.038705028,-0.148871562,0.159651989,-0.243132186,-0.326288365,-0.083242977,0.807091121,-0.024948015,-0.000480624,-0.000480624,0.780327853,4957.430978,0.464964483,-1.019675558,4478,2516,1.779809221,2.661009379,4.806776926,1871,2607,0.417820456,0.019814546,-0.013918916,0.000175615,-0.000156761,6741.831899,4.519375915,2.009773334,-2.370511836,6.831440632,5.569731657
1,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,10,-0.005957406,1.840024707,0.110166534,-0.00059808,-0.110764615,0.156527129,-0.003824866,-0.005315111,-0.001461155,0.696419132,-2.70E-05,-0.000303038,-0.000303038,0.724427189,6252.609788,0.409320142,-0.532456326,4573,2516,1.817567568,2.601793134,4.803391199,1955,2618,0.427509294,0.019345404,-0.013329828,0.000639137,-2.38E-06,9940.425942,4.696961606,2.036928686,-0.033609975,5.888644593,12.96373384
2,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,15,0.319910176,1.840024707,0.110166534,0.028180369,-0.081986166,0.155922015,0.180722012,0.25620955,0.100131619,0.671252414,0.017140404,-0.000185653,-0.000185653,0.713232078,4617.240715,0.281433267,-0.052933014,4532,2516,1.80127186,2.618049426,4.795877122,1933,2599,0.426522507,0.019714234,-0.013016648,0.00094381,0.000110363,13199.10176,4.814347097,2.065781564,1.546785096,5.525816387,19.92405237
3,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,20,0.207446093,1.840024707,0.110166534,0.019053239,-0.091113295,0.15117875,0.126221058,0.175583809,0.05970195,0.610038863,0.002685478,-0.000210455,-0.000210455,0.687672704,5098.489295,0.319139314,-0.195890104,4463,2516,1.773847377,2.65135559,4.802353896,1901,2562,0.425946673,0.019943431,-0.01330927,0.000854607,7.50E-05,12074.46093,4.789545099,2.051491411,0.986944021,5.211408308,18.72890399
4,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,25,0.015958343,1.840024707,0.110166534,0.001586445,-0.108580089,0.154564715,0.010283891,0.014101872,0.00466121,0.673589207,1.21E-06,-0.000290145,-0.000290145,0.714253155,4723.430485,0.340350426,-0.400214186,4488,2516,1.783783784,2.623663102,4.788531924,1905,2583,0.424465241,0.019608451,-0.013324983,0.000654115,6.30E-06,10159.58343,4.709855187,2.043109957,0.087100139,5.627637363,14.02201266
5,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,30,-0.164973135,1.840024707,0.110166534,-0.017889428,-0.128055962,0.156205665,-0.11471379,-0.157783701,-0.035961886,0.69260171,-0.004628274,-0.000371632,-0.000371632,0.722700026,7661.967001,0.497455218,-0.868361905,4535,2516,1.802464229,2.591179713,4.786558045,1884,2651,0.415435502,0.019741726,-0.013296108,0.000428981,-7.17E-05,8350.268651,4.628367839,2.047936055,-0.991107584,6.000006513,9.966878547
6,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,35,-0.247719631,1.840024707,0.110166534,-0.028097445,-0.13826398,0.154031008,-0.182693486,-0.250325617,-0.055291565,0.676369395,-0.017270686,-0.000410126,-0.000410126,0.715472747,6854.948502,0.508168751,-0.994265805,4466,2516,1.775039746,2.624272279,4.783673469,1836,2630,0.411106135,0.020091987,-0.013486731,0.000317686,-0.000113179,7522.80369,4.589874445,2.043209462,-1.527764213,5.901749974,8.658697727
7,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,40,0.091374004,1.840024707,0.110166534,0.008792965,-0.10137357,0.153241251,0.057419523,0.080368739,0.025789803,0.63700167,9.53E-06,-0.000255203,-0.000255203,0.698663635,5153.925592,0.340947339,-0.32951438,4528,2516,1.799682035,2.58414311,4.7817736,1929,2599,0.426015901,0.019562037,-0.013231451,0.000739096,3.48E-05,10913.74004,4.744796599,2.048199136,0.467353791,5.403780712,16.03489905
8,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,45,-0.122844043,1.840024707,0.110166534,-0.013037482,-0.123204016,0.151286637,-0.086224047,-0.120111559,-0.037602679,0.635583368,-0.001449249,-0.000341841,-0.000341841,0.698075571,4422.032955,0.346716822,-0.556815058,4531,2516,1.800874404,2.576693887,4.784836066,1899,2632,0.419112779,0.019259419,-0.013060552,0.000485161,-5.21E-05,8771.55957,4.658158785,2.052720098,-0.687529076,5.39763125,12.08361633
9,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210523_0,MASIGNA,ROLLISHARPRATIO,5,210523,5,50,0.164616559,1.840024707,0.110166534,0.015374986,-0.094791549,0.151853332,0.101334463,0.141444142,0.045751944,0.641809623,0.00118842,-0.000230208,-0.000230208,0.70066589,4736.578356,0.33605098,-0.257158012,4487,2516,1.783386328,2.597726766,4.790793259,1890,2597,0.421216849,0.019983527,-0.013181115,0.000788391,6.06E-05,11646.16559,4.769792409,2.060767822,0.817200834,5.419631499,17.3915022
