,id,signal,preference,max_positions,date,signal_n,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,5,-0.493177019,1.840024707,0.110166534,-0.065779867,-0.175946401,0.158632079,-0.415697611,-0.557763109,-0.112628195,0.758721654,-0.052739841,-0.000583288,-0.000583288,0.754326672,6707.886997,0.584044405,-1.556770255,4574,2516,1.817965024,2.610406646,4.810636583,1879,2695,0.410800175,0.019370905,-0.013733044,-0.000133936,-0.000270216,5068.229806,4.416712014,2.011616299,-3.846549522,6.616569055,3.188854869
1,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,10,-0.508345083,1.840024707,0.110166534,-0.068617651,-0.178784185,0.154992287,-0.443319931,-0.605382985,-0.120031044,0.704821873,-0.051857094,-0.000584554,-0.000584554,0.728267878,6263.147184,0.571665864,-1.557829893,4934,2516,1.961049285,2.409809485,4.802100162,2093,2841,0.424199433,0.018229456,-0.013619279,-0.000109063,-0.000282297,4916.549167,4.415445926,1.992465509,-3.873539476,6.189779014,3.310660593
2,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,15,0.223521212,1.840024707,0.110166534,0.020403542,-0.089762992,0.153040143,0.133424044,0.187897011,0.062759303,0.678287207,0.010459418,-0.000217085,-0.000217085,0.71631693,3894.152976,0.325107856,-0.191469446,4668,2516,1.855325914,2.546700943,4.799354057,2057,2611,0.440659811,0.019022661,-0.01349457,0.000834467,8.02E-05,12235.21212,4.782915386,2.018953146,1.141524149,5.628644964,17.63272244
3,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,20,-0.198709631,1.840024707,0.110166534,-0.021936337,-0.132102871,0.154645887,-0.142092678,-0.194354002,-0.052899263,0.673550608,-0.010670615,-0.000384517,-0.000384517,0.714236317,5130.266302,0.414681335,-0.757130742,4709,2516,1.871621622,2.513484816,4.801622718,2037,2672,0.432575918,0.019004823,-0.013794203,0.000393866,-8.81E-05,8012.903692,4.615482758,1.999470598,-1.213218217,5.742622794,9.53882021
4,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,25,-0.14354844,1.840024707,0.110166534,-0.015395131,-0.125561665,0.154724861,-0.099682451,-0.136485619,-0.03773609,0.700210921,-0.003708192,-0.000362992,-0.000362992,0.726153615,5597.14694,0.407968372,-0.679152738,4719,2516,1.875596184,2.502436957,4.790669371,2068,2651,0.438228438,0.018583743,-0.013664381,0.000467664,-6.16E-05,8564.515601,4.637007586,1.99795328,-0.876321162,5.904219221,10.19012548
5,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,30,-0.245600326,1.840024707,0.110166534,-0.027823653,-0.137990187,0.154858231,-0.180021939,-0.245796583,-0.059337267,0.713204867,-0.007805188,-0.00041593,-0.00041593,0.73215414,6215.027089,0.468906878,-0.914650883,4749,2516,1.887519873,2.479048221,4.795519348,2057,2692,0.43314382,0.018744487,-0.013730364,0.000335917,-0.000112061,7543.99674,4.584069659,1.997509461,-1.594780377,6.086637743,8.014369041
6,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,35,-0.41281152,1.840024707,0.110166534,-0.051910733,-0.162077267,0.15785316,-0.329477111,-0.446802651,-0.088530545,0.725656747,-0.028575801,-0.000518003,-0.000518003,0.738033305,7949.198338,0.586359579,-1.415167651,4734,2516,1.881558029,2.482678496,4.795185639,2044,2690,0.431770173,0.018732893,-0.014104448,7.37E-05,-0.000211694,5871.8848,4.481996821,1.973892662,-3.004143985,6.37251872,4.619452799
7,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,40,-0.015638878,1.840024707,0.110166534,-0.001576945,-0.11174348,0.155067536,-0.010178201,-0.014144462,-0.003779371,0.701529809,-0.000375131,-0.000307897,-0.000307897,0.726756625,6317.077889,0.417250672,-0.555760611,4691,2516,1.864467409,2.498827542,4.790355537,2073,2618,0.441910041,0.018870712,-0.013845713,0.000612003,-6.27E-06,9843.611217,4.692103265,1.993157619,-0.090157103,5.928772258,12.44072645
8,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,45,-0.098937795,1.840024707,0.110166534,-0.010376736,-0.12054327,0.155412025,-0.066821824,-0.092824072,-0.026922354,0.686137315,-0.00242966,-0.000340166,-0.000340166,0.719799452,5106.680717,0.385431963,-0.59101662,4694,2516,1.865659777,2.491478483,4.80090312,2078,2616,0.442692799,0.01829675,-0.013616818,0.000511089,-4.14E-05,9010.622054,4.659834262,1.994222706,-0.5856786,5.780120135,11.24639879
9,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,50,0.136246104,1.840024707,0.110166534,0.012870876,-0.097295659,0.152795749,0.084375349,0.116261336,0.041780102,0.686988858,0.001639882,-0.000248112,-0.000248112,0.720179763,4408.276584,0.30806233,-0.240529462,4692,2516,1.864864865,2.490622336,4.795240049,2105,2587,0.448635976,0.018491817,-0.013664018,0.000762247,5.08E-05,11362.46104,4.751887522,1.995822764,0.730824303,5.657295053,15.86684916
10,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,55,-0.327547645,1.840024707,0.110166534,-0.038952412,-0.149118946,0.151548449,-0.257719103,-0.344778833,-0.079684288,0.679798452,-0.019395724,-0.000455356,-0.000455356,0.716984157,5851.189589,0.488834286,-1.067885466,4720,2516,1.875993641,2.467584746,4.787094122,2063,2657,0.437076271,0.018150894,-0.013738984,0.000199325,-0.000157783,6724.52355,4.544643649,1.982988766,-2.175248224,5.881483585,6.824290151
11,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,5,60,-0.078129011,1.840024707,0.110166534,-0.008111953,-0.118278487,0.151363727,-0.053689434,-0.073176174,-0.017336098,0.656460101,-0.001781073,-0.000325714,-0.000325714,0.706851447,7354.478854,0.467922666,-0.712316426,4631,2516,1.840620032,2.513064133,4.803136608,2065,2566,0.445908011,0.01832997,-0.013777917,0.000539247,-3.23E-05,9218.709892,4.674286066,1.984794602,-0.447117919,5.704654864,11.7775453
12,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,10,5,0.012785841,1.840024707,0.110166534,0.001272856,-0.108893678,0.169420332,0.00752681,0.010370467,0.003064556,0.870522707,6.19E-05,-0.00033529,-0.00033529,0.8200318,5887.859286,0.415347537,-0.524032896,3868,2516,1.53736089,3.103671148,4.821285141,1550,2318,0.400723888,0.024625087,-0.015271054,0.000716283,5.05E-06,10127.85841,4.664709799,2.023639741,0.080905684,7.428204703,10.40830254
13,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,10,10,0.310230501,1.840024707,0.110166534,0.027422911,-0.082743623,0.16088651,0.170604668,0.238569493,0.084152007,0.779365842,0.01661942,-0.000210095,-0.000210095,0.76507156,5974.713374,0.325873521,-0.124134454,3671,2516,1.459062003,3.238082266,4.783501006,1557,2114,0.424135113,0.021704553,-0.014150679,0.001056784,0.000107437,13102.30501,4.789905219,2.034996311,1.650174972,6.37763146,17.32016521
14,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,10,15,0.03591315,1.840024707,0.110166534,0.00353893,-0.106627604,0.158676701,0.022292514,0.031813507,0.011445681,0.718293038,0.000429182,-0.000290831,-0.000290831,0.734540692,4418.69997,0.309193525,-0.334612252,3905,2516,1.552066773,3.024071703,4.755940395,1589,2316,0.406914213,0.021954573,-0.013869295,0.000707946,1.40E-05,10359.1315,4.709169132,2.057416196,0.19910151,5.886118372,13.83193188
15,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,10,20,-0.141125307,1.840024707,0.110166534,-0.015116571,-0.125283105,0.149566877,-0.101168925,-0.140022357,-0.038597266,0.643534363,-0.003999448,-0.00035159,-0.00035159,0.701387501,5160.13053,0.391648741,-0.649135078,3805,2516,1.512321145,3.096189225,4.767705382,1582,2223,0.415768725,0.02120801,-0.014330133,0.000445515,-6.05E-05,8588.746926,4.648409757,2.013999476,-0.8006515,5.505221059,11.26704104
16,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,10,25,-0.236151959,1.840024707,0.110166534,-0.026611378,-0.136777913,0.150006132,-0.177681233,-0.242414536,-0.054276261,0.708428699,-0.012899463,-0.00041006,-0.00041006,0.729933047,6929.183679,0.490294987,-0.943309535,3685,2516,1.464626391,3.187516961,4.768980918,1537,2148,0.417096336,0.020609811,-0.014246739,0.0002918,-0.000107112,7638.480412,4.589940425,2.006643054,-1.497588637,6.063495072,8.326895513
17,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,10,30,0.100618724,1.840024707,0.110166534,0.009645295,-0.100521239,0.152159078,0.063455626,0.088030067,0.027832212,0.704865922,1.60E-05,-0.000264145,-0.000264145,0.728287962,5619.983556,0.346551506,-0.329619067,3651,2516,1.451112878,3.209257738,4.774653627,1536,2115,0.420706656,0.021564276,-0.01428629,0.000796282,3.81E-05,11006.18724,4.735855362,2.023895986,0.542823982,5.831343141,14.91647209
18,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210517_0,MASIGNA,ROLLISHARPRATIO,5,210517,10,35,-0.223677508,1.840024707,0.110166534,-0.025031346,-0.13519788,0.152973954,-0.163810579,-0.225194349,-0.053837188,0.716438802,-0.013040058,-0.000405169,-0.000405169,0.733668547,6381.612039,0.464945269,-0.878573498,3690,2516,1.466613672,3.167750678,4.763243684,1530,2160,0.414634146,0.021049368,-0.014387276,0.000305967,-0.000100671,7763.224924,4.594831075,2.007281947,-1.415613913,6.093940528,8.492121908
