,id,signal,preference,max_positions,date,signal_n,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,5,-0.85095207,1.840024707,0.110166534,-0.173523289,-0.283689823,0.165117893,-1.053507359,-1.381210796,-0.201752894,0.838599385,-0.155382148,-0.001088495,-0.001088495,0.79906729,8671.890783,0.860078312,-3.870159733,9030,2516,3.589030207,1.297674419,4.746051033,4056,4974,0.449169435,0.013119991,-0.01157453,-0.000482506,-0.000756854,1490.479302,3.911505379,1.990926811,-11.17289404,7.805228534,1.377967351
1,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,10,-0.786895548,1.840024707,0.110166534,-0.143403233,-0.253569768,0.161815597,-0.888190583,-1.175427009,-0.179182757,0.794093203,-0.124486979,-0.000935543,-0.000935543,0.773048151,8222.507191,0.800318266,-3.157003356,8661,2516,3.442368839,1.355039834,4.759124088,3872,4789,0.44706154,0.013228376,-0.011278495,-0.000322416,-0.000614701,2131.044524,4.064457112,2.017004223,-8.899280165,7.271074213,0.088199352
2,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,15,-0.612623895,1.840024707,0.110166534,-0.090584239,-0.200750773,0.163481631,-0.555033512,-0.753070252,-0.134769811,0.810216305,-0.073393565,-0.000701686,-0.000701686,0.782114632,7482.748323,0.672140428,-2.063529107,8205,2516,3.261128776,1.436441194,4.777462505,3684,4521,0.448994516,0.014016129,-0.011416552,2.58E-06,-0.000377081,3873.761047,4.298313941,2.031558192,-5.703232678,7.21585911,0.979234022
3,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,20,-0.582076821,1.840024707,0.110166534,-0.083646789,-0.193813323,0.159746211,-0.524751937,-0.709498719,-0.126765043,0.792669337,-0.068284474,-0.000667418,-0.000667418,0.772264644,8008.241358,0.659856901,-1.950846515,7935,2516,3.15381558,1.485696282,4.786439302,3581,4354,0.451291745,0.014037939,-0.011488878,3.12E-05,-0.000346902,4179.231794,4.33258158,2.02674808,-5.202667486,7.018023196,1.444010736
4,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,25,-0.631937929,1.840024707,0.110166534,-0.095229232,-0.205395766,0.159638452,-0.597515919,-0.80562067,-0.138866208,0.777100361,-0.081517598,-0.000714449,-0.000714449,0.763868813,7855.893297,0.685762459,-2.157109763,7804,2516,3.101748808,1.508457201,4.783421373,3484,4320,0.446437724,0.014200223,-0.01155478,-5.68E-05,-0.000397417,3680.620711,4.285550819,2.026771768,-5.825829609,6.92969621,0.911511774
5,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,30,-0.513343927,1.840024707,0.110166534,-0.069570156,-0.179736691,0.16335632,-0.426623283,-0.583100812,-0.110613299,0.806261031,-0.048545915,-0.000610028,-0.000610028,0.779855811,7819.256953,0.628949298,-1.711614183,7704,2516,3.06200318,1.523494289,4.775020342,3449,4255,0.447689512,0.014754919,-0.011738054,0.000122572,-0.000286361,4866.560731,4.389971745,2.029744601,-4.361876771,7.109179289,2.350249406
6,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,35,-0.695561262,1.840024707,0.110166534,-0.112258999,-0.222425534,0.161646964,-0.695657375,-0.935439518,-0.147090232,0.804143653,-0.0986963,-0.000796046,-0.000796046,0.778656209,9415.005416,0.763198194,-2.62981715,7636,2516,3.034976153,1.536144578,4.7799511,3403,4233,0.445652174,0.014485308,-0.012004473,-0.000199245,-0.000472877,3044.387383,4.203953606,2.002241536,-7.015041455,7.296741624,0.195181937
7,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,40,-0.628432235,1.840024707,0.110166534,-0.094370074,-0.204536609,0.161700935,-0.584259239,-0.79982752,-0.135055576,0.80042474,-0.084688056,-0.000715949,-0.000715949,0.776564604,8519.014653,0.698749931,-2.189838588,7613,2516,3.025834658,1.536056745,4.771113831,3408,4205,0.447655326,0.014469178,-0.011853673,-7.01E-05,-0.000393648,3715.677647,4.284050871,2.012737963,-5.889070433,7.16041102,0.818194514
8,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,45,-0.441431285,1.840024707,0.110166534,-0.056642164,-0.166808698,0.161813267,-0.350116756,-0.489013607,-0.1003693,0.797612136,-0.041373076,-0.000553212,-0.000553212,0.774995581,7075.280226,0.564337539,-1.413265141,7523,2516,2.990063593,1.552306261,4.784104875,3403,4120,0.452346139,0.014628947,-0.01173211,0.000192212,-0.000231562,5585.687149,4.44678811,2.026460803,-3.540017073,6.919354512,3.555035526
9,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210601_0,MASIGNA,ROLLISHARPRATIO,5,210601,5,50,-0.4723038,1.840024707,0.110166534,-0.061997164,-0.172163699,0.160680152,-0.386139263,-0.534647627,-0.106216874,0.803899697,-0.050471101,-0.000577281,-0.000577281,0.778518269,7231.982685,0.583684702,-1.515546917,7517,2516,2.987678855,1.551948916,4.783107831,3391,4126,0.451110815,0.01456604,-0.011686079,0.000156536,-0.000254169,5276.962001,4.422718952,2.028003837,-3.89035465,6.998772423,3.00812144
