,id,signal,preference,max_positions,date,signal_n,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,5,-0.299458429,1.840024707,0.110166534,-0.035006641,-0.145173175,0.162812711,-0.215708902,-0.289567995,-0.071914457,0.848238671,-0.010115502,-0.000475681,-0.000475681,0.805159435,5825.227263,0.48678169,-1.022955539,3725,2516,1.480524642,3.217449664,4.817122186,1490,2235,0.4,0.023572792,-0.015429515,0.000171408,-0.000141512,7005.415711,4.524319183,1.995706486,-2.184832141,7.275359629,5.509046565
1,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,10,0.22215164,1.840024707,0.110166534,0.020289123,-0.089877411,0.158232858,0.128362632,0.178951461,0.063427513,0.721385519,0.00907653,-0.0002257,-0.0002257,0.736001735,5244.857392,0.319878902,-0.184871466,4036,2516,1.604133545,2.949207136,4.788012872,1714,2322,0.424677899,0.021002644,-0.013952367,0.000892253,7.98E-05,12221.5164,4.774300178,2.032978174,1.162631086,5.923139068,16.89269143
2,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,15,0.182230975,1.840024707,0.110166534,0.016902234,-0.0932643,0.158497648,0.106639238,0.151150781,0.050322179,0.714104337,0.007414689,-0.000237482,-0.000237482,0.732574384,5884.285535,0.335880416,-0.241889739,3954,2516,1.57154213,3,4.783064516,1657,2297,0.419069297,0.022139132,-0.014434983,0.000892106,6.66E-05,11822.30975,4.762518023,2.026328039,0.957658322,5.899014837,16.19054303
3,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,20,-0.107488111,1.840024707,0.110166534,-0.011321001,-0.121487536,0.153141679,-0.074023025,-0.10205477,-0.026735216,0.695724479,-0.004266078,-0.000345747,-0.000345747,0.724112112,5688.875252,0.423449042,-0.664406996,3875,2516,1.540143084,3.054193548,4.785685402,1629,2246,0.420387097,0.021292461,-0.014557402,0.000513418,-4.52E-05,8925.118893,4.65425332,2.002058109,-0.631775039,5.891860484,10.93478358
4,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,25,-0.292476031,1.840024707,0.110166534,-0.034047923,-0.144214458,0.153116357,-0.22274614,-0.302109143,-0.073526937,0.720186056,-0.012705151,-0.000442799,-0.000442799,0.735434205,5980.908652,0.46306734,-0.967866366,3869,2516,1.537758347,3.05040062,4.793663688,1637,2232,0.423106746,0.020417752,-0.014608015,0.000211623,-0.000137568,7075.239686,4.557201044,1.980825492,-1.946337286,6.117666544,7.061180882
5,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,30,0.024686242,1.840024707,0.110166534,0.002444638,-0.107721897,0.156733388,0.015613954,0.021681712,0.006576757,0.741200473,1.45E-05,-0.000299738,-0.000299738,0.745562637,5834.919727,0.371708646,-0.44036482,3847,2516,1.529014308,3.056667533,4.78786645,1638,2209,0.425786327,0.021303526,-0.014598737,0.000687955,9.70E-06,10246.86242,4.700261898,1.999820899,0.142642987,6.141228017,12.73208414
6,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,35,-0.277460166,1.840024707,0.110166534,-0.032014684,-0.142181218,0.155118436,-0.206590297,-0.284069152,-0.06099254,0.72252176,-0.020070474,-0.000434908,-0.000434908,0.736540727,7452.507002,0.524895077,-1.069202336,3855,2516,1.532193959,3.048767834,4.785423453,1598,2257,0.414526589,0.021194986,-0.014648556,0.000209545,-0.000129218,7225.398339,4.565092115,1.99464348,-1.820112167,6.239131452,7.268696155
7,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,40,-0.005278143,1.840024707,0.110166534,-0.000529725,-0.110696259,0.155896964,-0.003398284,-0.004773906,-0.001454616,0.733496457,-0.000139511,-0.000309978,-0.000309978,0.741803332,5427.566718,0.364167862,-0.458112806,3835,2516,1.524244833,3.05345502,4.775693312,1644,2191,0.428683181,0.02102595,-0.01465586,0.000640332,-2.10E-06,9947.218574,4.690021512,1.990732999,-0.030781756,6.07044847,12.29922242
8,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,45,-0.230915385,1.840024707,0.110166534,-0.025945299,-0.136111833,0.15341042,-0.169329756,-0.231711289,-0.05760456,0.703919578,-0.015491902,-0.00040648,-0.00040648,0.727852775,5698.915417,0.450403564,-0.861125305,3799,2516,1.509936407,3.074756515,4.769701919,1628,2171,0.428533825,0.020653644,-0.014965182,0.000298689,-0.000104395,7690.846154,4.593520362,1.964832648,-1.469092106,5.988662625,8.309073154
9,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210519_0,MASIGNA,ROLLISHARPRATIO,5,210519,5,50,-0.062596959,1.840024707,0.110166534,-0.006451269,-0.116617804,0.151409353,-0.042655384,-0.058762807,-0.016379077,0.667270632,-0.001305001,-0.000321,-0.000321,0.711500722,5335.264584,0.393872592,-0.565307021,3772,2516,1.499205087,3.089607635,4.776229508,1609,2163,0.426564157,0.020908381,-0.014590006,0.000552334,-2.57E-05,9374.030414,4.678999811,1.992209477,-0.352831148,5.658692717,12.20526895
