,id,signal,preference,max_positions,date,signal_n,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,5,-0.480628335,1.840024707,0.110166534,-0.063489334,-0.173655868,0.157303141,-0.404485879,-0.547209747,-0.106718706,0.75011958,-0.04979175,-0.000571761,-0.000571761,0.749985629,6921.673836,0.594922263,-1.558811821,5331,2516,2.118839428,2.238791971,4.822222222,2248,3083,0.421684487,0.017882029,-0.013051076,-7.07E-06,-0.000260491,5193.71665,4.42823853,2.02112418,-3.719852985,6.560615843,3.44000061
1,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,10,-0.53326497,1.840024707,0.110166534,-0.073455638,-0.183622172,0.156428345,-0.470328524,-0.63933061,-0.124165061,0.712718468,-0.052237163,-0.000606755,-0.000606755,0.731927219,6378.515423,0.59159668,-1.657493632,5384,2516,2.13990461,2.209881129,4.815054634,2271,3113,0.421805349,0.017699824,-0.013069804,-9.10E-05,-0.00030298,4667.350303,4.393245116,2.01543083,-4.166858525,6.282599437,2.884819072
2,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,15,-0.171491199,1.840024707,0.110166534,-0.0186597,-0.128826234,0.153315745,-0.121833538,-0.169755857,-0.050754931,0.680795357,-0.000384446,-0.000372559,-0.000372559,0.717425017,4567.377201,0.367643092,-0.646429136,5234,2516,2.080286169,2.269201376,4.80655605,2247,2987,0.429308368,0.01786933,-0.012701109,0.000423037,-7.48E-05,8285.088009,4.627441272,2.044425,-1.035710117,5.710641299,10.33007044
3,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,20,-0.329005459,1.840024707,0.110166534,-0.039161219,-0.149327753,0.15232712,-0.257469717,-0.35347441,-0.081195325,0.631677656,-0.021179566,-0.000447702,-0.000447702,0.696461976,5936.409308,0.482308789,-1.05737061,5232,2516,2.079491256,2.263761468,4.808769793,2255,2977,0.431001529,0.017582562,-0.012939732,0.000215423,-0.000158646,6709.945406,4.552298143,2.02123158,-2.080790619,5.585279933,7.59707921
4,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,25,-0.43134294,1.840024707,0.110166534,-0.054949964,-0.165116498,0.154773875,-0.355686537,-0.482039,-0.090484964,0.689346271,-0.042054176,-0.000523782,-0.000523782,0.721235639,7939.587155,0.60728282,-1.499143302,5271,2516,2.094992051,2.240751281,4.810997963,2265,3006,0.429709732,0.017431505,-0.013019204,6.58E-05,-0.000224444,5686.5706,4.476217618,2.012166047,-3.074604347,6.14172362,4.793586447
5,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,30,-0.162442077,1.840024707,0.110166534,-0.017591778,-0.127758312,0.156302899,-0.112756992,-0.155049955,-0.03593089,0.725082836,-0.003857997,-0.000376679,-0.000376679,0.737759353,7277.15963,0.489600394,-0.849826175,5264,2516,2.092209857,2.237082067,4.798696007,2265,2999,0.430281155,0.018058284,-0.012851617,0.000448331,-7.05E-05,8375.579227,4.623321083,2.03876092,-1.016245334,6.208148243,9.512182667
6,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,35,-0.436354084,1.840024707,0.110166534,-0.055787117,-0.165953651,0.156915209,-0.356316412,-0.480219371,-0.088909296,0.728447955,-0.03785086,-0.000534828,-0.000534828,0.739369367,8447.144709,0.627461011,-1.560742613,5205,2516,2.068759936,2.254178674,4.790935076,2213,2992,0.425168108,0.01806802,-0.01324963,6.56E-05,-0.000227964,5636.459155,4.465172084,2.012503046,-3.217845711,6.451252368,4.308851684
7,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,40,-0.239304815,1.840024707,0.110166534,-0.027014399,-0.137180933,0.152966948,-0.176790002,-0.243889375,-0.053700561,0.683047523,-0.0150363,-0.000406927,-0.000406927,0.718423665,6946.707324,0.503056176,-0.972800835,5278,2516,2.097774245,2.220538083,4.791496321,2278,3000,0.43160288,0.017757775,-0.012869236,0.00034947,-0.000108756,7606.951848,4.593072632,2.030283026,-1.505580519,5.9308353,8.615099382
8,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,45,-0.256707312,1.840024707,0.110166534,-0.029266331,-0.139432865,0.154751246,-0.189232835,-0.262795239,-0.066830923,0.687929028,-0.011837909,-0.000417033,-0.000417033,0.720600418,5608.829146,0.437916007,-0.87276937,5228,2516,2.077901431,2.238523336,4.802215839,2265,2963,0.43324407,0.017632862,-0.01291998,0.000316858,-0.000117958,7432.926883,4.582967281,2.023799158,-1.640631153,5.870330102,8.323072581
9,MASIGNA_ROLLISHARPRATIO_MAXPOS5_210521_0,MASIGNA,ROLLISHARPRATIO,5,210521,5,50,0.087146766,1.840024707,0.110166534,0.008401061,-0.101765473,0.152815599,0.055054348,0.076158941,0.026432806,0.694007238,0.00133467,-0.000266986,-0.000266986,0.723334645,4386.467019,0.31782708,-0.298915487,5193,2516,2.063990461,2.250336992,4.80115037,2280,2913,0.439052571,0.01786662,-0.01276087,0.000686209,3.32E-05,10871.46766,4.733014191,2.040281862,0.475945256,5.717819449,15.09233398
